------------Training error values------------
0.902993 0 0.407698
-0.893031 0 0.398753
0.612423 0 0.187531
-0.539058 0 0.145292
-0.296328 0 0.0439052
0.995703 1 9.23065e-006
-0.974299 0 0.47463
-0.946643 0 0.448066
-0.572803 0 0.164052
-0.375646 0 0.0705548
--------
-0.303281 1 0.849271
0.744576 0 0.277196
0.799643 0 0.319714
-0.848425 0 0.359912
0.400812 0 0.0803253
0.998176 0 0.498178
-0.358102 0 0.0641187
-0.957201 0 0.458117
0.89321 0 0.398912
0.0993029 0 0.00493053
--------
0.997017 0 0.497022
0.259872 0 0.0337667
0.860517 0 0.370245
-0.996791 0 0.496796
-0.999808 1 1.99962
-0.720586 0 0.259622
0.912238 0 0.416089
-0.459014 0 0.105347
-0.333777 0 0.0557034
-0.830303 0 0.344701
--------
0.7735 0 0.299151
-0.845807 1 1.7035
0.619781 0 0.192064
-0.443059 0 0.0981507
-0.952969 0 0.454075
0.99567 0 0.49568
-0.994137 0 0.494155
0.0934509 0 0.00436654
0.636792 0 0.202752
-0.785885 0 0.308808
--------
0.99856 0 0.498561
-0.0555344 0 0.00154204
0.0380194 0 0.000722736
0.996335 0 0.496342
-0.996782 0 0.496787
0.942984 0 0.444609
-0.961306 0 0.462055
0.660978 0 0.218446
0.168836 0 0.0142528
-0.0599974 1 0.561797
--------
-0.924181 0 0.427055
0.976449 0 0.476727
0.596792 1 0.0812884
0.997822 0 0.497825
0.958207 0 0.45908
0.999079 0 0.499079
-0.890565 0 0.396553
-0.785146 0 0.308227
0.877934 0 0.385384
0.0981877 0 0.00482041
--------
0.191141 0 0.0182673
-0.375431 1 0.945905
-0.933892 0 0.436077
0.796881 0 0.317509
-0.600681 0 0.180409
0.612718 0 0.187712
-0.998818 0 0.498818
-0.997962 0 0.497964
-0.930782 0 0.433178
-0.998184 0 0.498186
--------
-0.517691 0 0.134002
0.903353 0 0.408023
0.947149 0 0.448545
0.565554 1 0.0943718
-0.573662 0 0.164544
0.995351 0 0.495361
-0.950248 0 0.451486
-0.877093 0 0.384646
-0.105041 0 0.0055168
-0.858191 0 0.368246
--------
0.934609 0 0.436747
-0.884778 1 1.77619
-0.994891 0 0.494904
0.95863 0 0.459486
0.0726582 0 0.00263961
0.205464 0 0.0211077
-0.998125 0 0.498127
-0.845157 0 0.357145
-0.993247 0 0.49327
-0.998476 0 0.498477
--------
-0.982435 0 0.482589
-0.973235 0 0.473593
-0.99048 0 0.490525
-0.576801 0 0.16635
0.99915 1 3.61015e-007
0.863345 0 0.372682
-0.961186 0 0.461939
-0.991133 0 0.491172
-0.0552371 0 0.00152557
-0.956585 0 0.457528
--------
0.185396 0 0.0171858
0.083895 0 0.00351919
0.861889 0 0.371427
-0.148814 1 0.659887
-0.206895 0 0.0214028
0.992566 0 0.492594
-0.989862 0 0.489913
-0.965767 0 0.466353
-0.584651 0 0.170908
-0.711756 0 0.253298
--------
-0.801848 0 0.32148
0.4923 0 0.12118
0.911737 0 0.415632
-0.159201 0 0.0126725
-0.747808 0 0.279609
0.996198 1 7.22897e-006
-0.544424 0 0.148199
-0.561991 0 0.157917
